SPEAKER,VOWEL,AGE,SEX,F1,F2,F3
1,iy,adult,male,240,2280,2850
1,iy,adult,male,280,2400,2790
1,ih,adult,male,390,2030,2640
1,ih,adult,male,310,1980,2550
1,eh,adult,male,490,1870,2420
1,eh,adult,male,570,1700,2600
1,ae,adult,male,560,1820,2660
1,ae,adult,male,630,1700,2550
1,ah,adult,male,590,1250,2620
1,ah,adult,male,620,1300,2530
1,aa,adult,male,740,1070,2490
1,aa,adult,male,800,1060,2640
1,ao,adult,male,600,970,2280
1,ao,adult,male,660,980,2220
1,uh,adult,male,440,1120,2210
1,uh,adult,male,400,1070,2280
1,uw,adult,male,240,1040,2150
1,uw,adult,male,270,930,2280
1,er,adult,male,370,1520,1670
1,er,adult,male,460,1330,1590
2,iy,adult,male,220,2220,2910
2,iy,adult,male,210,2360,3250
2,ih,adult,male,410,1890,2680
2,ih,adult,male,420,1850,2500
2,eh,adult,male,500,1760,2590
2,eh,adult,male,510,1710,2380
2,ae,adult,male,690,1610,2560
2,ae,adult,male,700,1690,2580
2,ah,adult,male,650,1080,2420
2,ah,adult,male,625,1060,2490
2,aa,adult,male,650,1040,2450
2,aa,adult,male,670,1100,2430
2,ao,adult,male,580,580,2470
2,ao,adult,male,560,560,2410
2,uh,adult,male,450,940,1910
2,uh,adult,male,410,830,2240
2,uw,adult,male,280,650,3300
2,uw,adult,male,260,660,3300
2,er,adult,male,510,1210,1570
2,er,adult,male,510,1130,1510
3,iy,adult,male,250,2180,2680
3,iy,adult,male,244,2300,2780
3,ih,adult,male,400,1930,2610
3,ih,adult,male,400,1990,2700
3,eh,adult,male,550,1810,2500
3,eh,adult,male,540,1810,2480
3,ae,adult,male,630,1710,2400
3,ae,adult,male,658,1755,2305
3,ah,adult,male,600,1200,2320
3,ah,adult,male,612,1160,2350
3,aa,adult,male,640,1080,2140
3,aa,adult,male,720,1090,2230
3,ao,adult,male,550,870,2300
3,ao,adult,male,540,840,2280
3,uh,adult,male,460,1150,2290
3,uh,adult,male,456,1030,2300
3,uw,adult,male,340,950,2240
3,uw,adult,male,326,900,2190
3,er,adult,male,500,1370,1780
3,er,adult,male,530,1330,1800
4,iy,adult,male,300,2240,3400
4,iy,adult,male,280,2450,3200
4,ih,adult,male,450,1960,2400
4,ih,adult,male,440,2050,2360
4,eh,adult,male,570,1780,2410
4,eh,adult,male,555,1890,2440
4,ae,adult,male,750,1610,2340
4,ae,adult,male,770,1580,2350
4,ah,adult,male,660,1200,2330
4,ah,adult,male,675,1140,2380
4,aa,adult,male,750,1100,2550
4,aa,adult,male,800,1120,2500
4,ao,adult,male,540,850,2320
4,ao,adult,male,555,890,2370
4,uh,adult,male,460,960,2210
4,uh,adult,male,460,1000,2350
4,uw,adult,male,380,950,2050
4,uw,adult,male,385,850,2330
4,er,adult,male,590,1400,1840
4,er,adult,male,555,1430,1730
5,iy,adult,male,310,2310,2820
5,iy,adult,male,260,2250,2850
5,ih,adult,male,440,2060,2640
5,ih,adult,male,430,1880,2450
5,eh,adult,male,580,1910,2500
5,eh,adult,male,550,1770,2400
5,ae,adult,male,830,1720,2180
5,ae,adult,male,750,1690,2320
5,ah,adult,male,630,1300,1950
5,ah,adult,male,650,1170,2000
5,aa,adult,male,760,1220,2140
5,aa,adult,male,720,1260,2020
5,ao,adult,male,540,970,1980
5,ao,adult,male,550,880,1950
5,uh,adult,male,470,1040,1990
5,uh,adult,male,490,990,1920
5,uw,adult,male,380,950,2140
5,uw,adult,male,330,800,2130
5,er,adult,male,560,1510,1800
5,er,adult,male,510,1460,1700
6,iy,adult,male,312,2350,2800
6,iy,adult,male,330,2430,2870
6,ih,adult,male,420,2000,2660
6,ih,adult,male,313,2000,2750
6,eh,adult,male,600,1860,2500
6,eh,adult,male,570,1830,2570
6,ae,adult,male,676,1670,2540
6,ae,adult,male,725,1687,2500
6,ah,adult,male,680,1150,2560
6,ah,adult,male,726,1270,2560
6,aa,adult,male,740,1100,2680
6,aa,adult,male,670,960,2650
6,ao,adult,male,660,1030,2690
6,ao,adult,male,720,960,2700
6,uh,adult,male,456,1080,2520
6,uh,adult,male,450,1140,2600
6,uw,adult,male,313,838,2340
6,uw,adult,male,288,938,2450
6,er,adult,male,503,1305,1775
6,er,adult,male,505,1320,1750
7,iy,adult,male,320,2320,3120
7,iy,adult,male,310,2280,3020
7,ih,adult,male,470,2000,2660
7,ih,adult,male,410,2040,2715
7,eh,adult,male,630,1900,2860
7,eh,adult,male,614,1840,2770
7,ae,adult,male,740,1800,2450
7,ae,adult,male,775,1810,2200
7,ah,adult,male,620,1240,2410
7,ah,adult,male,640,1250,2400
7,aa,adult,male,650,970,2580
7,aa,adult,male,650,980,2350
7,ao,adult,male,430,720,2450
7,ao,adult,male,510,800,2500
7,uh,adult,male,460,1120,2150
7,uh,adult,male,493,1120,2300
7,uw,adult,male,380,1040,2260
7,uw,adult,male,400,1000,2350
7,er,adult,male,570,1300,1750
7,er,adult,male,565,1370,1710
8,iy,adult,male,230,2480,3200
8,iy,adult,male,218,2380,3100
8,ih,adult,male,320,2200,2680
8,ih,adult,male,206,2130,2570
8,eh,adult,male,430,2100,2630
8,eh,adult,male,515,1760,2470
8,ae,adult,male,514,2060,2600
8,ae,adult,male,552,1820,2500
8,ah,adult,male,640,1300,2300
8,ah,adult,male,624,1350,2410
8,aa,adult,male,714,1170,2420
8,aa,adult,male,650,1150,2350
8,ao,adult,male,590,965,2500
8,ao,adult,male,578,970,2460
8,uh,adult,male,467,1110,2400
8,uh,adult,male,475,1220,2310
8,uw,adult,male,270,910,2200
8,uw,adult,male,260,975,2320
8,er,adult,male,460,1400,1790
8,er,adult,male,425,1410,1760
9,iy,adult,male,316,2200,2800
9,iy,adult,male,280,2275,2775
9,ih,adult,male,450,1820,2475
9,ih,adult,male,434,1850,2425
9,eh,adult,male,582,1725,2375
9,eh,adult,male,586,1800,2425
9,ae,adult,male,600,1750,2375
9,ae,adult,male,582,1775,2375
9,ah,adult,male,626,1125,2200
9,ah,adult,male,641,1120,2225
9,aa,adult,male,708,1054,2420
9,aa,adult,male,705,1050,2375
9,ao,adult,male,614,848,2200
9,ao,adult,male,600,860,2175
9,uh,adult,male,500,1000,2325
9,uh,adult,male,500,1000,2325
9,uw,adult,male,334,1150,2200
9,uw,adult,male,312,1020,2300
9,er,adult,male,518,1305,1570
9,er,adult,male,504,1210,1510
10,iy,adult,male,260,2260,2820
10,iy,adult,male,250,2200,2825
10,ih,adult,male,400,2040,2500
10,ih,adult,male,389,2000,2425
10,eh,adult,male,500,1870,2500
10,eh,adult,male,500,1775,2450
10,ae,adult,male,660,1650,2500
10,ae,adult,male,624,1700,2475
10,ah,adult,male,650,1220,2550
10,ah,adult,male,672,1260,2500
10,aa,adult,male,750,1080,2680
10,aa,adult,male,777,1026,2625
10,ao,adult,male,580,800,2650
10,ao,adult,male,585,819,2625
10,uh,adult,male,480,950,2500
10,uh,adult,male,461,993,2350
10,uw,adult,male,280,950,2300
10,uw,adult,male,266,920,2300
10,er,adult,male,500,1340,1700
10,er,adult,male,532,1275,1600
11,iy,adult,male,248,2225,3100
11,iy,adult,male,238,2175,3075
11,ih,adult,male,405,1925,2550
11,ih,adult,male,416,1940,2600
11,eh,adult,male,588,1790,2500
11,eh,adult,male,586,1725,2650
11,ae,adult,male,725,1700,2425
11,ae,adult,male,710,1650,2220
11,ah,adult,male,586,1078,2300
11,ah,adult,male,627,1038,2360
11,aa,adult,male,725,1046,2325
11,aa,adult,male,746,1018,2300
11,ao,adult,male,560,840,2500
11,ao,adult,male,560,924,2350
11,uh,adult,male,495,1080,2275
11,uh,adult,male,430,1030,2275
11,uw,adult,male,290,760,2300
11,uw,adult,male,315,850,2025
11,er,adult,male,511,1561,1876
11,er,adult,male,530,1450,1887
12,iy,adult,male,220,2410,3000
12,iy,adult,male,240,2440,3280
12,ih,adult,male,450,1880,2450
12,ih,adult,male,380,1930,2420
12,eh,adult,male,560,1650,2300
12,eh,adult,male,560,1720,2300
12,ae,adult,male,680,1720,2330
12,ae,adult,male,630,1680,2280
12,ah,adult,male,560,1430,2250
12,ah,adult,male,560,1390,2240
12,aa,adult,male,800,1330,2260
12,aa,adult,male,740,1240,2280
12,ao,adult,male,600,920,2080
12,ao,adult,male,580,910,2000
12,uh,adult,male,400,1200,2210
12,uh,adult,male,420,1230,2230
